adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,lat,lon
Azad Kashmir,PK1,Bagh,PK101,Bagh,PK10101,33.98517585,73.85907264
Azad Kashmir,PK1,Bagh,PK101,Dhir Kot,PK10102,34.02167141,73.59663068
Azad Kashmir,PK1,Bagh,PK101,Harighel,PK10103,33.97990908,73.721548
Azad Kashmir,PK1,Bhimber,PK102,Barnala,PK10201,32.9054593,74.27445916
Azad Kashmir,PK1,Bhimber,PK102,Bhimber,PK10202,33.04092458,73.96696686
Azad Kashmir,PK1,Bhimber,PK102,Samahni,PK10203,33.13457994,74.04790823
Azad Kashmir,PK1,Jhelum Valley,PK103,Chikar,PK10301,34.1346823,73.68405714
Azad Kashmir,PK1,Jhelum Valley,PK103,Hattian,PK10302,34.15092867,73.82183474
Azad Kashmir,PK1,Jhelum Valley,PK103,Leepa,PK10303,34.302867,73.84498995
Azad Kashmir,PK1,Haveli,PK104,Haveli,PK10401,33.93709736,74.09512656
Azad Kashmir,PK1,Haveli,PK104,Khurshid Abad,PK10402,33.96322327,74.19597508
Azad Kashmir,PK1,Haveli,PK104,Mumtazabad,PK10403,33.91860832,74.01765773
Azad Kashmir,PK1,Kotli,PK105,Charhoi,PK10501,33.35044465,73.91685822
Azad Kashmir,PK1,Kotli,PK105,Dulliya Jattan,PK10502,33.31591244,73.83763661
Azad Kashmir,PK1,Kotli,PK105,Fatehpur Thakiala,PK10503,33.48203772,74.11811434
Azad Kashmir,PK1,Kotli,PK105,Khui Ratta,PK10504,33.34727475,74.08413023
Azad Kashmir,PK1,Kotli,PK105,Kotli,PK10505,33.50150509,73.93278668
Azad Kashmir,PK1,Kotli,PK105,Sehnsa,PK10506,33.54507743,73.70076503
Azad Kashmir,PK1,Mirpur,PK106,Dadyal,PK10601,33.35038118,73.6742283
Azad Kashmir,PK1,Mirpur,PK106,Mirpur,PK10602,33.1799092,73.79321258
Azad Kashmir,PK1,Muzaffarabad,PK107,Muzaffarabad,PK10701,34.26404049,73.60983474
Azad Kashmir,PK1,Muzaffarabad,PK107,Naseerabad,PK10702,34.43931061,73.61505652
Azad Kashmir,PK1,Neelum,PK108,Athmuqam,PK10801,34.65357872,73.80255372
Azad Kashmir,PK1,Neelum,PK108,Sharda,PK10802,34.90621948,74.30961799
Azad Kashmir,PK1,Poonch,PK109,Abbaspur,PK10901,33.84343396,73.97914732
Azad Kashmir,PK1,Poonch,PK109,Hajira,PK10902,33.72486623,73.92029868
Azad Kashmir,PK1,Poonch,PK109,Rawalakot,PK10903,33.87308742,73.77643204
Azad Kashmir,PK1,Poonch,PK109,Thorar,PK10904,33.87977442,73.60688891
Azad Kashmir,PK1,Sudhnoti,PK110,Baluch,PK11001,33.66861879,73.84783082
Azad Kashmir,PK1,Sudhnoti,PK110,Mong,PK11002,33.78694137,73.62274723
Azad Kashmir,PK1,Sudhnoti,PK110,Pallandari,PK11003,33.68633529,73.67252498
Azad Kashmir,PK1,Sudhnoti,PK110,Tarar Khal,PK11004,33.74057173,73.77894182
Balochistan,PK2,Awaran,PK201,Awaran,PK20101,26.34404505,64.84096935
Balochistan,PK2,Awaran,PK201,Jhal Jhao,PK20102,26.31200793,65.65325296
Balochistan,PK2,Awaran,PK201,Mashkai,PK20103,26.97029833,65.59145799
Balochistan,PK2,Awaran,PK201,Gishekore,PK20104,25.83047059,64.74878323
Balochistan,PK2,Barkhan,PK202,Barkhan,PK20201,29.98520647,69.63058913
Balochistan,PK2,Barkhan,PK202,Rakhni,PK20202,30.00950054,69.8614805
Balochistan,PK2,Chagai,PK203,Dalbandin,PK20301,28.89895465,64.32105505
Balochistan,PK2,Chagai,PK203,Nokkundi,PK20302,28.68475457,62.92650894
Balochistan,PK2,Chagai,PK203,Taftan,PK20303,29.13842964,61.77968354
Balochistan,PK2,Chagai,PK203,Chagai,PK20304,29.33041012,64.78278677
Balochistan,PK2,Dera Bugti,PK204,Dera Bugti,PK20401,29.01127663,68.81577836
Balochistan,PK2,Dera Bugti,PK204,Phelawagh,PK20402,29.34400613,69.4653909
Balochistan,PK2,Dera Bugti,PK204,Sui,PK20403,28.74118222,68.97658904
Balochistan,PK2,Gwadar,PK205,Gwadar,PK20501,25.32375218,62.28214168
Balochistan,PK2,Gwadar,PK205,Jiwani,PK20502,25.14237803,61.83770337
Balochistan,PK2,Gwadar,PK205,Ormara,PK20503,25.3791452,64.69725455
Balochistan,PK2,Gwadar,PK205,Pasni,PK20504,25.40624187,63.03448619
Balochistan,PK2,Gwadar,PK205,Sunster,PK20505,25.5244497,61.86234965
Balochistan,PK2,Harnai,PK206,Harnai,PK20601,29.99804499,68.1996307
Balochistan,PK2,Harnai,PK206,Shahrigh,PK20602,30.20513948,67.58417753
Balochistan,PK2,Jaffarabad,PK207,Gandakha,PK20701,28.07076795,67.7496685
Balochistan,PK2,Jaffarabad,PK207,Jhat Pat,PK20702,28.39208735,68.24739834
Balochistan,PK2,Jaffarabad,PK207,Usta Mohammad,PK20703,28.1379267,67.95675451
Balochistan,PK2,Jhal Magsi,PK208,Gandawa,PK20801,28.50228281,67.64708513
Balochistan,PK2,Jhal Magsi,PK208,Jhal Magsi,PK20802,28.21413093,67.51299284
Balochistan,PK2,Kachhi,PK209,Dhadar,PK20901,29.48358875,67.62551875
Balochistan,PK2,Kachhi,PK209,Mach,PK20902,29.70214989,67.40068434
Balochistan,PK2,Kachhi,PK209,Sanni,PK20903,29.02268389,67.50128206
Balochistan,PK2,Kachhi,PK209,Balanari,PK20904,29.27763653,67.84053953
Balochistan,PK2,Kachhi,PK209,Khattan,PK20905,29.20025678,67.67237936
Balochistan,PK2,Kalat,PK210,Kalat,PK21001,29.04165437,66.76137633
Balochistan,PK2,Kalat,PK210,Khaliqabad,PK21002,29.43553245,66.60807504
